Variable,A (English),B (Trad. Chinese),C (French),D (German),E (Italian),F (Japanese),G (Korean),H (Euro. Spanish),I (Latin American Spanish),J (Polish),K (Brazilian Portuguese),L (Russian),M (Simplified Chinese)
AircraftDataviewer_Description_f86t,"A versatile and adaptable transonic jet fighter aircraft developed by a certain nation, the F-86 was developed to counter the rising threat from the similarly designed MiG-15.

The two aircraft would be involved in high-speed dogfights in a major war, fighting some of the earliest jet-to-jet battles in history. The F-86T excels in dogfights, possessing 6 mounted machine guns, and early AIM-9B missiles for suppressing air targets, but it's also a formidable strike aircraft when equipped with rocket pods, medium-sized bombs and napalm.

At the end of the war, the F-86 had proven itself to be a successful fighter jet and was considered to be one of the best and most important of its kind in history, receiving an extended production run with many variants and upgrades being produced for long after

Its nickname is the ""Sabre"" but sometimes it wad called the ""Sabrejet"".","F-86系由某國針對日益遽增的MiG-15威脅，所研發的多功能、改裝空間極強的穿音速戰鬥機，且兩機均採用相似設計理念，並活用於某大型戰爭中相互創造歷史上的高速纏鬥空戰。

 F-86T搭載6挺機槍及首款空對空導彈AIM-9B，以壓制對空目標，但本身也可裝備火箭彈夾艙、中等航空炸彈及汽油彈，搖身一變成為令人生畏的對地炸射平臺。於此大型戰爭中，F-86證明自身有效性且具最佳戰鬥機等歷史定位，後續又長期獲得多款改良衍生型與延長產線壽期等優待。

其稱為「軍刀」亦或是「軍刀戰機」。","Un chasseur à réaction transsonique, versatile et adaptable développé par un certain pays, le F-86 fut développé pour contrer la menace émergente d'un MiG-15 de conception similaire.

Les deux appareils furent impliqués dans des combats aériens à haute vitesse durant une guerre majeure, participant à plusieurs des premièrs combats entre jets de l'Histoire. Le F-86T excelle en combat aérien, emportant 6 canons et des missiles AIM-9B primitifs pour la suppression des cibles aériennes, mais représente également un avion d'attaque au sol des plus formidables quand il est équipé de lance-roquettes, bombes moyennes, et napalm.

A la fin de la guerre, le F-86 avait fait ses preuves en tant que chasseur à réaction et fut considéré comme l'un des meilleurs et plus importants de l'Histoire, recevant une production à long terme avec bien des variantes et améliorations pendant très longtemps.

Son surnom est le ""Sabre"" mais il était parfois appelé le ""Sabrejet"".","A versatile and adaptable transonic jet fighter aircraft developed by a certain nation, the F-86 was developed to counter the rising threat from the similarly designed MiG-15.

The two aircraft would be involved in high-speed dogfights in a major war, fighting some of the earliest jet-to-jet battles in history. The F-86T excels in dogfights, possessing 6 mounted machine guns, and early AIM-9B missiles for suppressing air targets, but it's also a formidable strike aircraft when equipped with rocket pods, medium-sized bombs and napalm.

At the end of the war, the F-86 had proven itself to be a successful fighter jet and was considered to be one of the best and most important of its kind in history, receiving an extended production run with many variants and upgrades being produced for long after

Its nickname is the ""Sabre"" but sometimes it wad called the ""Sabrejet"".","A versatile and adaptable transonic jet fighter aircraft developed by a certain nation, the F-86 was developed to counter the rising threat from the similarly designed MiG-15.

The two aircraft would be involved in high-speed dogfights in a major war, fighting some of the earliest jet-to-jet battles in history. The F-86T excels in dogfights, possessing 6 mounted machine guns, and early AIM-9B missiles for suppressing air targets, but it's also a formidable strike aircraft when equipped with rocket pods, medium-sized bombs and napalm.

At the end of the war, the F-86 had proven itself to be a successful fighter jet and was considered to be one of the best and most important of its kind in history, receiving an extended production run with many variants and upgrades being produced for long after

Its nickname is the ""Sabre"" but sometimes it wad called the ""Sabrejet"".","ある国が開発した、汎用性と適応性に優れた遷音速ジェット戦闘機、F-86は、類似設計のMiG-15の脅威の高まりに対抗するために開発されました。

両機は、ある大戦において高速ドッグファイトを繰り広げ、歴史上最も初期のジェット機同士の戦闘のいくつかを繰り広げました。 F-86Tはドッグファイトに優れ、6挺の機銃と初期のAIM-9Bミサイルを搭載し、空中目標の制圧に威力を発揮します。また、ロケットポッド、中型爆弾、ナパーム弾を装備すれば、強力な攻撃機にもなります。

終戦時には、F-86は優れた戦闘機としての実力を示し、同種の機体の中では史上最高かつ最も重要な機体の一つとみなされていました。生産は長期にわたり続けられ、その後も多くの派生型や改良型が生産されました。

愛称は「セイバー」ですが、「セイバージェット」と呼ばれることもありました。","A versatile and adaptable transonic jet fighter aircraft developed by a certain nation, the F-86 was developed to counter the rising threat from the similarly designed MiG-15.

The two aircraft would be involved in high-speed dogfights in a major war, fighting some of the earliest jet-to-jet battles in history. The F-86T excels in dogfights, possessing 6 mounted machine guns, and early AIM-9B missiles for suppressing air targets, but it's also a formidable strike aircraft when equipped with rocket pods, medium-sized bombs and napalm.

At the end of the war, the F-86 had proven itself to be a successful fighter jet and was considered to be one of the best and most important of its kind in history, receiving an extended production run with many variants and upgrades being produced for long after

Its nickname is the ""Sabre"" but sometimes it wad called the ""Sabrejet"".","Un avión caza a reacción transónico, versátil y adaptable, desarrollado por una nación en particular. El F-86 fue desarrollado para contrarrestar la amenaza creciente del similarmente diseñado MiG-15.

Ambos aviones serían utilizados en combate aéreos de alta velocidad durante una importante guerra, luchando algunas de las primeras batallas entre aviones a reacción de la historia. El F-86T es excelente para combates aéreos, contando con 6 ametralladoras pesadas montadas, y misiles AIM-9B para atacar blancos aéreos. Además, resulta formidable como avión de ataque al equiparse con lanzacohetes, bombas de tamaño medio y napalm.

Para fines de la guerra, el F-86 había demostrado su éxito como caza de combate y fue considerado uno de los mejores y más importantes de su clase de la historia, recibiendo un ciclo de fabricación extendido con muchas variantes y mejoras ofrecidas durante un largo tiempo.

Su apodo es ""Sabre"", y a veces, ""Sabrejet"".","Un avión caza a reacción transónico, versátil y adaptable, desarrollado por una nación en particular. El F-86 fue desarrollado para contrarrestar la amenaza creciente del similarmente diseñado MiG-15.

Ambos aviones serían utilizados en combate aéreos de alta velocidad durante una importante guerra, luchando algunas de las primeras batallas entre aviones a reacción de la historia. El F-86T es excelente para combates aéreos, contando con 6 ametralladoras pesadas montadas, y misiles AIM-9B para atacar blancos aéreos. Además, resulta formidable como avión de ataque al equiparse con lanzacohetes, bombas de tamaño medio y napalm.

Para fines de la guerra, el F-86 había demostrado su éxito como caza de combate y fue considerado uno de los mejores y más importantes de su clase de la historia, recibiendo un ciclo de fabricación extendido con muchas variantes y mejoras ofrecidas durante un largo tiempo.

Su apodo es ""Sabre"", y a veces, ""Sabrejet"".","A versatile and adaptable transonic jet fighter aircraft developed by a certain nation, the F-86 was developed to counter the rising threat from the similarly designed MiG-15.

The two aircraft would be involved in high-speed dogfights in a major war, fighting some of the earliest jet-to-jet battles in history. The F-86T excels in dogfights, possessing 6 mounted machine guns, and early AIM-9B missiles for suppressing air targets, but it's also a formidable strike aircraft when equipped with rocket pods, medium-sized bombs and napalm.

At the end of the war, the F-86 had proven itself to be a successful fighter jet and was considered to be one of the best and most important of its kind in history, receiving an extended production run with many variants and upgrades being produced for long after

Its nickname is the ""Sabre"" but sometimes it wad called the ""Sabrejet"".","A versatile and adaptable transonic jet fighter aircraft developed by a certain nation, the F-86 was developed to counter the rising threat from the similarly designed MiG-15.

The two aircraft would be involved in high-speed dogfights in a major war, fighting some of the earliest jet-to-jet battles in history. The F-86T excels in dogfights, possessing 6 mounted machine guns, and early AIM-9B missiles for suppressing air targets, but it's also a formidable strike aircraft when equipped with rocket pods, medium-sized bombs and napalm.

At the end of the war, the F-86 had proven itself to be a successful fighter jet and was considered to be one of the best and most important of its kind in history, receiving an extended production run with many variants and upgrades being produced for long after

Its nickname is the ""Sabre"" but sometimes it wad called the ""Sabrejet"".","A versatile and adaptable transonic jet fighter aircraft developed by a certain nation, the F-86 was developed to counter the rising threat from the similarly designed MiG-15.

The two aircraft would be involved in high-speed dogfights in a major war, fighting some of the earliest jet-to-jet battles in history. The F-86T excels in dogfights, possessing 6 mounted machine guns, and early AIM-9B missiles for suppressing air targets, but it's also a formidable strike aircraft when equipped with rocket pods, medium-sized bombs and napalm.

At the end of the war, the F-86 had proven itself to be a successful fighter jet and was considered to be one of the best and most important of its kind in history, receiving an extended production run with many variants and upgrades being produced for long after

Its nickname is the ""Sabre"" but sometimes it wad called the ""Sabrejet"".","F-86是由某国研发的一款强适应能力多用途跨音速战机，为应对增长的来自相似设计的MIG-15战机的威胁而研发。这两款战机在后来的一场大型战争中参与了高速缠斗，是历史上最早的喷气式战机对抗。

F-86T在缠斗中表现优异，其拥有6挺机枪和早期型AIM-9B导弹以压制空中目标，但在装备火箭吊舱、中等尺寸炸弹和燃烧弹时亦可成为一款强大的攻击机。

在战争末期，F-86证明了自身是一款成功的喷气式战斗机，也被认为是历史上与其同类型的战机中最优秀且影响最为重大的战机之一，其生产周期在许久之后仍在延长，期间仍有大量该机的不同型号和升级被生产。

其稱為「軍刀」亦或是「軍刀戰機」。"
AircraftDataviewer_Description_ut4054,"An aircraft rumored to have been developed as a successor or replacement of the General Resource Defense Force's SR-71 and RF-12A2 Blackbird. Only one airframe is known to have been produced, and it was mysteriously acquired by the organization Ouroboros. 

It features a long fuselage with curved blended-wing lifting body with two low-aspect-ration, elliptical-tip delta wings. Its large dorsal vertical stabilizers are canted inwards and protrude beyond the trailing edge of the wing and are mated to two underwing mid-span ventral fins. Four engines are enclosed within a blister on the belly of the rear fuselage with a large, straked air intake on the bottom and a smaller intake on the top supplying air to the engines. It also features a large internal weapon bay in the front of the bottom fuselage and two gun ports hidden on the top. Despite its large size and heavy weight, it is still very agile with a high top speed.

This aircraft features advanced Connection For Flight Interface (COFFIN) equipped with the latest neural connections system designated Opto-Neuron-Synapse-Interface (ONSI) that directly links the pilot's nervous system to the aircraft, allowing for faster and more precise control than previous flight control technology.

its nickname is ""Aurora"".","傳聞中，通用資源公司秘密研製以取代SR-71和RF-12A2的高空超音速偵察機，據說只有生產乙款並由恐怖組織「銜尾蛇」獲得。

其修長的機身由弧形融合翼構成，腹部的大型條狀進氣口及頂部的小進氣口分別通向四具發動機。機身底部前方還設有一個大型內部武器艙，頂部則埋藏著兩個砲口。儘管身為重型機，它依然非常靈活並能達到高速表現。

該飛機配備了先進的飛行連接介面（COFFIN），搭載了最新的神經連接系統——光神經突觸介面（ONSI），可將飛行員的神經系統直接連接到飛機，從而實現比以往飛行控制技術更快、更精確的控制.

機體代號為 ""極光"".","An aircraft rumored to have been developed as a successor or replacement of the General Resource Defense Force's SR-71 and RF-12A2 Blackbird. Only one airframe is known to have been produced, and it was mysteriously acquired by the organization Ouroboros. 

It features a long fuselage with curved blended-wing lifting body with two low-aspect-ration, elliptical-tip delta wings. Its large dorsal vertical stabilizers are canted inwards and protrude beyond the trailing edge of the wing and are mated to two underwing mid-span ventral fins. Four engines are enclosed within a blister on the belly of the rear fuselage with a large, straked air intake on the bottom and a smaller intake on the top supplying air to the engines. It also features a large internal weapon bay in the front of the bottom fuselage and two gun ports hidden on the top. Despite its large size and heavy weight, it is still very agile with a high top speed.

This aircraft features advanced Connection For Flight Interface (COFFIN) equipped with the latest neural connections system designated Opto-Neuron-Synapse-Interface (ONSI) that directly links the pilot's nervous system to the aircraft, allowing for faster and more precise control than previous flight control technology.

its nickname is ""Aurora"".","An aircraft rumored to have been developed as a successor or replacement of the General Resource Defense Force's SR-71 and RF-12A2 Blackbird. Only one airframe is known to have been produced, and it was mysteriously acquired by the organization Ouroboros. 

It features a long fuselage with curved blended-wing lifting body with two low-aspect-ration, elliptical-tip delta wings. Its large dorsal vertical stabilizers are canted inwards and protrude beyond the trailing edge of the wing and are mated to two underwing mid-span ventral fins. Four engines are enclosed within a blister on the belly of the rear fuselage with a large, straked air intake on the bottom and a smaller intake on the top supplying air to the engines. It also features a large internal weapon bay in the front of the bottom fuselage and two gun ports hidden on the top. Despite its large size and heavy weight, it is still very agile with a high top speed.

This aircraft features advanced Connection For Flight Interface (COFFIN) equipped with the latest neural connections system designated Opto-Neuron-Synapse-Interface (ONSI) that directly links the pilot's nervous system to the aircraft, allowing for faster and more precise control than previous flight control technology.

its nickname is ""Aurora"".","Si dice che questo aereo sia stato sviluppato come successore e rimpiazzo dell'SR-71 e RF-12A2 Blackbird della Forza di Difesa di General Resource. Solo un'unità fu prodotta, e fu misteriosamente acquisita dall'organizzazione Ouroboros.

È dotato di una lunga fusoliera con ala curva integrata e due ali a delta ellittiche con allungamento alare ridotto. Le sue grandi derive, inclinate verso l'interno, sono associate a due pinne ventrali sotto le ali. I quattro motori sono posizionati sulla parte inferiore della pancia con due prese d'aria: una grande con nervature nella parte inferiore e una più piccola nella parte superiore della fusoliera. Presenta inoltre un ampio vano armi. Nonostante la sua grandezza ed il suo peso, è un aereo molto agile con un'elevata velocità massima.

Questo aereo presenta un sistema COFFIN (Connection For Flight Interface) avanzato, migliorato con il sistema Interfaccia Optico-Neurale Sinaptica (ONSI) che collega il sistema nervoso del pilota direttamente all'aereo, permettendo controlli più rapidi e precisi rispetto alle precedenti tecnologie.

Il suo soprannome è ""Aurora"".","ゼネラル・リソース・ディフェンス・フォースのSR-71およびRF-12A2ブラックバードの後継機、あるいは代替機として開発されたと噂される航空機。製造された機体は1機のみで、組織「ウロボロス」によって謎の入手が行われた。

湾曲したブレンデッド・ウィング・リフティング・ボディと、低アスペクト比の楕円翼端デルタ翼を2枚備えた長い胴体を持つ。大型の背側垂直安定板は内側に傾斜し、主翼後縁を超えて突出し、翼下側の2枚の翼幅中央部腹側フィンと連結されている。4基のエンジンは後部胴体腹部のブリスター内に収納され、下面には大型のストレイク状のエアインテーク、上面にはエンジンへの空気供給用の小型のエアインテークが備えられている。また、下面胴体前部には大型の機内兵装庫が、上面には2つの隠された銃眼が備えられている。大型で非常に重いにもかかわらず、非常に高速で機動性に優れています。

この機体は、パイロットの神経系と機体を直接接続する最新の神経接続システム「オプトニューロンシナプスインターフェース（オンシ）」を搭載した先進的な飛行接続インターフェース（棺桶）を搭載しており、従来の技術よりも高速かつ高精度な操縦を可能にします。

愛称は「オーロラ」","An aircraft rumored to have been developed as a successor or replacement of the General Resource Defense Force's SR-71 and RF-12A2 Blackbird. Only one airframe is known to have been produced, and it was mysteriously acquired by the organization Ouroboros. 

It features a long fuselage with curved blended-wing lifting body with two low-aspect-ration, elliptical-tip delta wings. Its large dorsal vertical stabilizers are canted inwards and protrude beyond the trailing edge of the wing and are mated to two underwing mid-span ventral fins. Four engines are enclosed within a blister on the belly of the rear fuselage with a large, straked air intake on the bottom and a smaller intake on the top supplying air to the engines. It also features a large internal weapon bay in the front of the bottom fuselage and two gun ports hidden on the top. Despite its large size and heavy weight, it is still very agile with a high top speed.

This aircraft features advanced Connection For Flight Interface (COFFIN) equipped with the latest neural connections system designated Opto-Neuron-Synapse-Interface (ONSI) that directly links the pilot's nervous system to the aircraft, allowing for faster and more precise control than previous flight control technology.

its nickname is ""Aurora"".","Se dice que esta aeronave fue desarrollada como un sucesor or reemplazo para los SR-71 y RF-12A2 Blackbird utilizados por la General Resource Defense Force. Se cree que solo una unidad fue jamás fabricada, y fue adquirida por la organización Ouroboros bajo circunstancias misteriosas.

Presenta un largo fuselaje integrado con dos alas delta de relación de aspecto baja, con puntas elípticas. Sus grandes estabilizadores verticales dorsales están inclinados hacia dentro y sobresalen más allá del borde trasero del ala y se fusionan con dos aletas ventrales ubicadas en la parte media inferior del ala. Posee cuatro motores dentro de una ampolla integrada en la parte ventral trasera del fuselaje, con una gran toma de aire apilada debajo y una toma de aire más pequeña arriba para los motores. También incluye un gran compartimento de armas interno al frente del fuselaje inferior, así como dos cañones ocultos en la parte superior. Pese a su gran tamaño y peso, resulta muy ágil y presume de una alta velocidad máxima.

Esta aeronave presenta el avanzado sistema Connection For Flight Interface (COFFIN) equipado con la última generación el sistema Opto-Neuron-Synapse-Interface (ONSI) de conexiones neuronales que vincula el sistema nervioso del piloto directamente a la aeronave, permitiendo un control más rápido y preciso que las anteriores tecnologías de control de vuelo.

Su apodo es ""Aurora"".","Se dice que esta aeronave fue desarrollada como un sucesor or reemplazo para los SR-71 y RF-12A2 Blackbird utilizados por la General Resource Defense Force. Se cree que solo una unidad fue jamás fabricada, y fue adquirida por la organización Ouroboros bajo circunstancias misteriosas.

Presenta un largo fuselaje integrado con dos alas delta de relación de aspecto baja, con puntas elípticas. Sus grandes estabilizadores verticales dorsales están inclinados hacia dentro y sobresalen más allá del borde trasero del ala y se fusionan con dos aletas ventrales ubicadas en la parte media inferior del ala. Posee cuatro motores dentro de una ampolla integrada en la parte ventral trasera del fuselaje, con una gran toma de aire apilada debajo y una toma de aire más pequeña arriba para los motores. También incluye un gran compartimento de armas interno al frente del fuselaje inferior, así como dos cañones ocultos en la parte superior. Pese a su gran tamaño y peso, resulta muy ágil y presume de una alta velocidad máxima.

Esta aeronave presenta el avanzado sistema Connection For Flight Interface (COFFIN) equipado con la última generación el sistema Opto-Neuron-Synapse-Interface (ONSI) de conexiones neuronales que vincula el sistema nervioso del piloto directamente a la aeronave, permitiendo un control más rápido y preciso que las anteriores tecnologías de control de vuelo.

Su apodo es ""Aurora"".","An aircraft rumored to have been developed as a successor or replacement of the General Resource Defense Force's SR-71 and RF-12A2 Blackbird. Only one airframe is known to have been produced, and it was mysteriously acquired by the organization Ouroboros. 

It features a long fuselage with curved blended-wing lifting body with two low-aspect-ration, elliptical-tip delta wings. Its large dorsal vertical stabilizers are canted inwards and protrude beyond the trailing edge of the wing and are mated to two underwing mid-span ventral fins. Four engines are enclosed within a blister on the belly of the rear fuselage with a large, straked air intake on the bottom and a smaller intake on the top supplying air to the engines. It also features a large internal weapon bay in the front of the bottom fuselage and two gun ports hidden on the top. Despite its large size and heavy weight, it is still very agile with a high top speed.

This aircraft features advanced Connection For Flight Interface (COFFIN) equipped with the latest neural connections system designated Opto-Neuron-Synapse-Interface (ONSI) that directly links the pilot's nervous system to the aircraft, allowing for faster and more precise control than previous flight control technology.

its nickname is ""Aurora"".","Uma aeronave que, segundo rumores, teria sido desenvolvida como sucessora/substituta do SR-71 e do RF-12A2 Blackbird da Força de Defesa de General Resource. Sabe-se que apenas uma fuselagem foi produzida, e ela foi misteriosamente adquirida pela organização Ouroboros.

Possui uma fuselagem longa com corpo de asa curva e duas asas delta elípticas de baixa proporção. Seus grandes estabilizadores verticais dorsais são inclinados para dentro e se projetam além da borda traseira da asa, estando acoplados a duas aletas ventrais sob a asa, no meio da envergadura. Quatro motores estão alojados dentro de uma protuberância na parte inferior da fuselagem traseira, com uma grande entrada de ar com nervuras na parte inferior e uma entrada menor na parte superior, que fornece ar aos motores. Ele também possui um grande compartimento interno para armas na parte frontal da fuselagem inferior e duas portas para armas escondidas na parte superior. Apesar de seu grande tamanho e peso, ele ainda é muito ágil e capaz de atingir altas velocidades máximas.

Esta aeronave possui uma interface avançada de conexão para voo (COFFIN) equipada com o mais recente sistema de conexões neurais denominado Opto-Neuron-Synapse-Interface (ONSI), que conecta diretamente o sistema nervoso do piloto à aeronave, permitindo um controle mais rápido e preciso do que a tecnologia de controle de voo anterior.

O apelido da aeronave é “Aurora”.","An aircraft rumored to have been developed as a successor or replacement of the General Resource Defense Force's SR-71 and RF-12A2 Blackbird. Only one airframe is known to have been produced, and it was mysteriously acquired by the organization Ouroboros. 

It features a long fuselage with curved blended-wing lifting body with two low-aspect-ration, elliptical-tip delta wings. Its large dorsal vertical stabilizers are canted inwards and protrude beyond the trailing edge of the wing and are mated to two underwing mid-span ventral fins. Four engines are enclosed within a blister on the belly of the rear fuselage with a large, straked air intake on the bottom and a smaller intake on the top supplying air to the engines. It also features a large internal weapon bay in the front of the bottom fuselage and two gun ports hidden on the top. Despite its large size and heavy weight, it is still very agile with a high top speed.

This aircraft features advanced Connection For Flight Interface (COFFIN) equipped with the latest neural connections system designated Opto-Neuron-Synapse-Interface (ONSI) that directly links the pilot's nervous system to the aircraft, allowing for faster and more precise control than previous flight control technology.

its nickname is ""Aurora"".","一款据传作为通用资源防卫力量的SR-71和RF-12A2“黑鸟”的继任者开发的飞机。该机仅被制造了一架，被衔尾蛇组织秘密接收。
其具备修长的机身、弧形翼身融合体和两个低宽高比的椭圆翼尖三角翼。其位于机背的大型垂尾向内倾斜并突出于机翼后缘，且与两个翼下的中等翼展大小的腹鳍联动。四台发动机被封装于机身后部的一个泡状囊包中，由一个位于下方的大型条纹式进气道和一个位于上方的小型进气道为发动机提供空气。其也具备一个在机身底部前缘的大型内部武器舱和两个隐藏在机身上部的航炮口。尽管该机尺寸和质量都较大，其仍然非常灵敏，且能达到高极速。
该机具有先进的配有最新型“光学神经元突触界面”(OSNI)神经连接系统的“飞行连接界面”(C.O.F.F.I.N.)，将飞行员的神经系统直接连接至飞机，与此前的飞控技术相比，为更快速和精准的控制留出了空间。
该机的称号为“极光”。
"
AircraftShort_Name_f86t,F-86T,F-86T,F-86T,F-86T,F-86T,F-86T,F-86T,F-86T,F-86T,F-86T,F-86T,F-86T,F-86T
AircraftShort_Name_ut4054,UT-4054,UT-4054,UT-4054,UT-4054,UT-4054,UT-4054,UT-4054,UT-4054,UT-4054,UT-4054,UT-4054,UT-4054,UT-4054
AircraftSkin_Description_f86t_00,The Osea skin for the F-86T Sabre.,F-86軍刀的歐西亞灰色塗裝.,Le skin Osea pour le F-86T Sabre. ,The Osea skin for the F-86T Sabre.,The Osea skin for the F-86T Sabre.,F-86T セイバー用オーシアスキン。,The Osea skin for the F-86T Sabre.,El aspecto de Osea para el F-86T Sabre.,El aspecto de Osea para el F-86T Sabre.,The Osea skin for the F-86T Sabre.,The Osea skin for the F-86T Sabre.,The Osea skin for the F-86T Sabre.,“F-86T Sabre”的欧西亚涂装。
AircraftSkin_Description_f86t_01,The Erusea skin for the F-86T Sabre.,F-86軍刀的愛爾吉亞塗裝.,Le skin Erusea pour le F-86T Sabre. ,The Erusea skin for the F-86T Sabre.,The Erusea skin for the F-86T Sabre.,F-86T セイバー用エルジアスキン。,The Erusea skin for the F-86T Sabre.,El aspecto de Erusea para el F-86T Sabre.,El aspecto de Erusea para el F-86T Sabre.,The Erusea skin for the F-86T Sabre.,The Erusea skin for the F-86T Sabre.,The Erusea skin for the F-86T Sabre.,“F-86T Sabre”的爱尔吉亚涂装。
AircraftSkin_Description_f86t_02,A special skin for the F-86T Sabre.,F-86軍刀的特殊塗裝.,Le skin Spécial pour le F-86T Sabre. ,A special skin for the F-86T Sabre.,A special skin for the F-86T Sabre.,F-86T セイバー用スペシャルスキン。,A special skin for the F-86T Sabre.,Un aspecto especial para el F-86T Sabre.,Un aspecto especial para el F-86T Sabre.,A special skin for the F-86T Sabre.,A special skin for the F-86T Sabre.,A special skin for the F-86T Sabre.,“F-86T Sabre”的特殊涂装。
AircraftSkin_Description_f86t_03,"Mage Squadron skin for the F-86T Sabre. 
Based on the mod author's RealStrange AU.",F-86軍刀的RealStrange世界版法師隊塗裝.,"Skin de l'Escadron Mage pour le F-86T Sabre.
Basé sur l'univers RealStrange de l'auteur du mod.","Mage Squadron skin for the F-86T Sabre. 
Based on the mod author's RealStrange AU.","Mage Squadron skin for the F-86T Sabre. 
Based on the mod author's RealStrange AU.","F-86T セイバー用メイジ飛行隊スキン。
モッド作者のリアルストレンジ AUに基づいています。","Mage Squadron skin for the F-86T Sabre. 
Based on the mod author's RealStrange AU.","El aspecto de Mage para el F-86T Sabre.
Inspirado en el universo alternativo RealStrange creado por el autor.","El aspecto de Mage para el F-86T Sabre.
Inspirado en el universo alternativo RealStrange creado por el autor.","Mage Squadron skin for the F-86T Sabre. 
Based on the mod author's RealStrange AU.","Mage Squadron skin for the F-86T Sabre. 
Based on the mod author's RealStrange AU.","Mage Squadron skin for the F-86T Sabre. 
Based on the mod author's RealStrange AU.","“F-86T Sabre”的法师涂装。
基于模组作者的奇异现实世界观。"
AircraftSkin_Description_f86t_04,Spare Squadron skin for the F-86T Sabre.,F-86軍刀的後援者隊塗裝.,Skin de l'Escadron Spare pour le F-86T Sabre.,Spare Squadron skin for the F-86T Sabre.,Spare Squadron skin for the F-86T Sabre.,F-86T セイバー用スペア飛行隊スキン。,Spare Squadron skin for the F-86T Sabre.,El aspecto de Spare para el F-86T Sabre.,El aspecto de Spare para el F-86T Sabre.,Spare Squadron skin for the F-86T Sabre.,Spare Squadron skin for the F-86T Sabre.,Spare Squadron skin for the F-86T Sabre.,“F-86T Sabre”的后援者涂装。
AircraftSkin_Description_f86t_05,Strider Squadron skin for the F-86T Sabre.,F-86軍刀的疾行者隊塗裝.,Skin de l'Escadron Strider pour le F-86T Sabre.,Strider Squadron skin for the F-86T Sabre.,Strider Squadron skin for the F-86T Sabre.,F-86T セイバー用ストライダー飛行隊スキン。,Strider Squadron skin for the F-86T Sabre.,El aspecto de Strider para el F-86T Sabre.,El aspecto de Strider para el F-86T Sabre.,Strider Squadron skin for the F-86T Sabre.,Strider Squadron skin for the F-86T Sabre.,Strider Squadron skin for the F-86T Sabre.,“F-86T Sabre”的疾行者涂装。
